web-scraper-order,web-scraper-start-url,cards,cards-href,tipo,cidade,bairro,quartos,suites,banheiros,vagas,area_construida,valor
1650231064-92,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=8,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-185-m-na-rua-matheo-tonietti-parque-residencial-salgado-filho-rio-grande-rs-a-venda-por-290000/CA0760-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,2 Quartos,0,2 Banheiros,1 Vaga,"185 m²
 Área construída",290000
1650231033-86,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=8,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-a-venda-55-m-cassino-rio-grande-rs/AP0512-LINL?from=sale,Apartamento,Rio Grande,Cassino,2 Quartos,0,1 Banheiro,1 Vaga,"55 m²
 Área útil",298000
1650231258-126,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=11,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-250-m-na-rua-antonio-simao-numa-cassino-rio-grande-rs-a-venda-por-400000/CA0092-LINL?from=sale,Casa,Rio Grande,Cassino,2 Quartos,0,2 Banheiros,3 Vagas,"250 m²
 Área construída",400000
1650230700-27,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=3,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-300-m-na-rua-do-quartel-cassino-rio-grande-rs-a-venda-por-180000/CA0190-LINL?from=sale,Casa,Rio Grande,Cassino,3 Quartos,0,2 Banheiros,6 Vagas,"300 m²
 Área construída",180000
1650231122-102,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=9,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-com-3-dormitorios-a-venda-180-m-por-320000-vila-sao-miguel-rio-grande-rs/CA0682-LINL?from=sale,Casa,Rio Grande,Vila São Miguel,3 Quartos,0,2 Banheiros,1 Vaga,"180 m²
 Área construída",320000
1650231253-125,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=11,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-180-m-na-rua-ana-pernigotti-bolaxa-rio-grande-rs-a-venda-por-403000/CA0251-LINL?from=sale,Casa,Rio Grande,Bolaxa,3 Quartos,0,2 Banheiros,3 Vagas,"180 m²
 Área construída",403000
1650231059-91,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=8,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-75-m-na-avenida-atlantica-cassino-rio-grande-rs-a-venda-por-290000/AP0005-LINL?from=sale,Apartamento,Rio Grande,Cassino,2 Quartos,0,2 Banheiros,1 Vaga,"75 m²
 Área útil",290000
1650231054-90,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=8,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-126-m-na-avenida-primeiro-de-maio-vila-hidraulica-rio-grande-rs-a-venda-por-290000/CA0326-LINL?from=sale,Casa,Rio Grande,Vila Hidráulica,2 Quartos,0,1 Banheiro,2 Vagas,"126 m²
 Área construída",290000
1650230966-74,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=7,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-75-m-na-rua-n-cassino-rio-grande-rs-a-venda-por-271000/AP0014-LINL?from=sale,Apartamento,Rio Grande,Cassino,2 Quartos,0,1 Banheiro,1 Vaga,"75 m²
 Área útil",271000
1650231007-82,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=7,Detalhes,https://www.lindalvoimoveis.com.br/imovel/sobrado-de-120-m-na-rua-capitao-lemos-farias-lar-gaucho-rio-grande-rs-a-venda-por-250000/SO0162-LINL?from=sale,Sobrado,Rio Grande,Lar Gaúcho,2 Quartos,0,2 Banheiros,1 Vaga,"120 m²
 Área construída",250000
1650230731-33,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=3,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-68-m-na-avenida-italia-vila-maria-jose-rio-grande-rs-a-venda-por-165000/AP0094-LINL?from=sale,Apartamento,Rio Grande,Vila Maria José,2 Quartos,0,1 Banheiro,1 Vaga,"68 m²
 Área útil",165000
1650230835-51,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=5,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-57-m-na-rua-tia-laura-barroni-canuso-cassino-rio-grande-rs-a-venda-por-212000/CA0986-LINL?from=sale,Casa,Rio Grande,Cassino,2 Quartos,0,1 Banheiro,2 Vagas,"57 m²
 Área construída",212000
1650230679-24,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=2,Detalhes,https://www.lindalvoimoveis.com.br/imovel/so-avista-135-mil-casa-recem-reformada-com-garagem/CA0875-LINL?from=sale,Casa,Rio Grande,Vila Braz,2 Quartos,0,1 Banheiro,2 Vagas,"65 m²
 Área construída",135000
1650231185-113,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=1+&ordenar=menor-valor&pagina=10,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-65-m-venda-por-360000-ou-aluguel-por-900-ano-cassino-rio-grande-rs/AP0051-LINL?from=sale,Apartamento,Rio Grande,Cassino,2 Quartos,0,1 Banheiro,1 Vaga,"65 m²
 Área útil",360000
