web-scraper-order,web-scraper-start-url,cards,cards-href,tipo,cidade,bairro,quartos,suites,banheiros,vagas,area_construida,valor
1650141935-396,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=6,"R$ 850.000CassinoCasa em Rio GrandeEsta casa é simplesmente completa! Com terreno de 500m² e 250m² de área construída, ela dispõe de um belo espaço gourmet com churrasqueira para receber a família e os amigos.. Piscina 3x6, amplo pátio, portão eletrônico, câmeras de monitoramento, alarme e toda gradeada para sua segurança.

- Localização privilegiada, pertinho da praia e avenida principal. 
 
-Não deixe de visitar e conhecer a beleza desse imóvel de perto!

-Horários para visita flexíveis 7 dias por semana. Só entrar em contato.4
quartos1
suíte2
banheiros6
vagas250
m²DetalhesContatoCA0593-LINL",https://www.lindalvoimoveis.com.br/imovel/casa-de-250-m-na-rua-montevideo-cassino-rio-grande-rs-a-venda-por-850000/CA0593-LINL?from=sale,Casa,Rio Grande,Cassino,4 Quartos,1 Suíte,2 Banheiros,6 Vagas,"250 m²
 Área construída",850000
1650141970-408,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=7,"R$ 1.200.000CentroSobrado em Rio Grande3
quartos3
suítes2
banheiros4
vagas380
m²DetalhesContatoSO0147-LINL",https://www.lindalvoimoveis.com.br/imovel/sobrado-de-380-m-na-rua-carlos-gomes-centro-rio-grande-rs-a-venda-por-1200000/SO0147-LINL?from=sale,Sobrado,Rio Grande,Centro,3 Quartos,3 Suítes,2 Banheiros,4 Vagas,"380 m²
 Área construída",1200000
1650141979-411,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=7,"R$ 1.060.000CassinoCasa em Rio GrandeCasa em ótima localização no Cassino. Apenas 4 quadras da avenida Rio Grande e 2 quadras da Avenida Atlântica. 

Terreno com 750m², casa toda em pré-laje, sala dois ambientes com lareira, churrasqueira, garagem coberta para dois carros, piscina...

Agende sua visita!3
quartos1
suíte1
banheiro 2
vagas140
m²DetalhesContatoCA0878-LINL",https://www.lindalvoimoveis.com.br/imovel/casa-de-140-m-na-rua-cachoeira-cassino-rio-grande-rs-a-venda-por-1060000/CA0878-LINL?from=sale,Casa,Rio Grande,Cassino,3 Quartos,1 Suíte,1 Banheiro,2 Vagas,"140 m²
 Área construída",1060000
1650141807-353,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=2,"R$ 320.000Miguel de Castro MoreiraCasa em Rio GrandeÓtima casa térrea em bairro tranquilo com proximidade a escolas, postos de combustíveis e comércios. Garagem para dois carros, três dormitórios, 2 suítes, closet, banheira, lareira e churrasqueira.3
quartos2
suítes3
banheiros2
vagas172
m²DetalhesContatoCA0637-LINL",https://www.lindalvoimoveis.com.br/imovel/casa-de-172-m-na-rua-paraiba-miguel-de-castro-moreira-rio-grande-rs-a-venda-por-320000/CA0637-LINL?from=sale,Casa,Rio Grande,Miguel de Castro Moreira,3 Quartos,2 Suítes,3 Banheiros,2 Vagas,"172 m²
 Área construída",320000
1650141858-370,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=4,"R$ 450.000Condomínio R$ 360CentroApartamento em Rio Grande2
quartos1
suíte1
banheiro 1
vaga68
m²DetalhesContatoAP0181-LINL",https://www.lindalvoimoveis.com.br/imovel/apartamento-de-68-m-na-rua-gomes-freire-centro-rio-grande-rs-a-venda-por-450000/AP0181-LINL?from=sale,Apartamento,Rio Grande,Centro,2 Quartos,1 Suíte,1 Banheiro,1 Vaga,"68 m²
 Área útil",450000
1650141828-360,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=3,"R$ 380.000CassinoCasa em Rio GrandeRua Gravataí, boa localização, casa de alvenaria á venda com 03 dormitórios, 02 banheiros, sala, varanda, garagem e área nos fundo.3
quartos1
suíte1
banheiro 1
vaga110
m²DetalhesContatoCA0944-LINL",https://www.lindalvoimoveis.com.br/imovel/casa-de-110-m-na-rua-gravatai-cassino-rio-grande-rs-a-venda-por-380000/CA0944-LINL?from=sale,Casa,Rio Grande,Cassino,3 Quartos,1 Suíte,1 Banheiro,1 Vaga,"110 m²
 Área construída",380000
1650141906-387,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=5,"R$ 520.000CassinoSobrado em Rio Grande2
quartos1
suíte1
banheiro 4
vagas125
m²DetalhesContatoSO0188-LINL",https://www.lindalvoimoveis.com.br/imovel/sobrado-a-venda-125-m-por-520000-cassino-rio-grande-rs/SO0188-LINL?from=sale,Sobrado,Rio Grande,Cassino,2 Quartos,1 Suíte,1 Banheiro,4 Vagas,"125 m²
 Área construída",520000
1650141756-334,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=1,"R$ 275.000BolaxaCasa em Rio Grande2
quartos2
suítes1
banheiro 2
vagas90
m²DetalhesContatoCA0936-LINL",https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-a-venda-90-m-por-275000-bolaxa-rio-grande-rs/CA0936-LINL?from=sale,Casa,Rio Grande,Bolaxa,2 Quartos,2 Suítes,1 Banheiro,2 Vagas,"90 m²
 Área construída",275000
1650141758-335,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=1,"R$ 265.000Condomínio R$ 250CentroApartamento em Rio Grande3
quartos1
suíte1
banheiro 1
vaga92
m²DetalhesContatoAP0533-LINL",https://www.lindalvoimoveis.com.br/imovel/otimo-ap-com-3-dormitorios-com-suite-e-garagem-meia-quadra-do-big/AP0533-LINL?from=sale,Apartamento,Rio Grande,Centro,3 Quartos,1 Suíte,1 Banheiro,1 Vaga,"92 m²
 Área útil",265000
1650141793-347,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&suites=1+&vagas=1+&banheiros=1+&ordenar=menor-valor&pagina=2,"R$ 350.000Parque Residencial Salgado FilhoSobrado em Rio Grandesobrado próximo ao hiper guanabara , e CEAT, rua central ,  tranquila com moradores antigos e conservadores ,  possibilidade de duas moradias individuais !3
quartos1
suíte1
banheiro 2
vagas230
m²DetalhesContatoSO0196-LINL",https://www.lindalvoimoveis.com.br/imovel/sobrado-com-3-dormitorios-a-venda-230-m-por-350000-parque-residencial-salgado-filho-rio-grande-rs/SO0196-LINL?from=sale,Sobrado,Rio Grande,Parque Residencial Salgado Filho,3 Quartos,1 Suíte,1 Banheiro,2 Vagas,"230 m²
 Área construída",350000
