Card,Tipo,Cidade,Bairro,Dormitorios,Suites,Banheiros,Vagas,Area_construida,Valor
https://www.lindalvoimoveis.com.br/imovel/casa-de-250-m-na-rua-montevideo-cassino-rio-grande-rs-a-venda-por-850000/CA0593-LINL?from=sale,Casa,Rio Grande,Cassino,4,1,2,6,250.0,850000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-380-m-na-rua-carlos-gomes-centro-rio-grande-rs-a-venda-por-1200000/SO0147-LINL?from=sale,Sobrado,Rio Grande,Centro,3,3,2,4,380.0,1200000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-140-m-na-rua-cachoeira-cassino-rio-grande-rs-a-venda-por-1060000/CA0878-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,1,2,140.0,1060000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-172-m-na-rua-paraiba-miguel-de-castro-moreira-rio-grande-rs-a-venda-por-320000/CA0637-LINL?from=sale,Casa,Rio Grande,Miguel de Castro Moreira,3,2,3,2,172.0,320000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-68-m-na-rua-gomes-freire-centro-rio-grande-rs-a-venda-por-450000/AP0181-LINL?from=sale,Apartamento,Rio Grande,Centro,2,1,1,1,68.0,450000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-110-m-na-rua-gravatai-cassino-rio-grande-rs-a-venda-por-380000/CA0944-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,1,1,110.0,380000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-a-venda-125-m-por-520000-cassino-rio-grande-rs/SO0188-LINL?from=sale,Sobrado,Rio Grande,Cassino,2,1,1,4,125.0,520000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-a-venda-90-m-por-275000-bolaxa-rio-grande-rs/CA0936-LINL?from=sale,Casa,Rio Grande,Bolaxa,2,2,1,2,90.0,275000.0
https://www.lindalvoimoveis.com.br/imovel/otimo-ap-com-3-dormitorios-com-suite-e-garagem-meia-quadra-do-big/AP0533-LINL?from=sale,Apartamento,Rio Grande,Centro,3,1,1,1,92.0,265000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-com-3-dormitorios-a-venda-230-m-por-350000-parque-residencial-salgado-filho-rio-grande-rs/SO0196-LINL?from=sale,Sobrado,Rio Grande,Parque Residencial Salgado Filho,3,1,1,2,230.0,350000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-3-dormitorios-a-venda-120-m-por-420000-cassino-rio-grande-rs/CA0843-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,1,1,120.0,420000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-220-m-na-rua-paulino-modernell-cassino-rio-grande-rs-a-venda-por-430000/CA0083-LINL?from=sale,Casa,Rio Grande,Cassino,6,3,3,5,220.0,430000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-76-m-na-alameda-caxias-do-sul-cassino-rio-grande-rs-a-venda-por-370000/CA0951-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,1,2,76.0,370000.0
https://www.lindalvoimoveis.com.br/imovel/excelente-apartamento-a-meia-quadra-do-canalete/AP0541-LINL?from=sale,Apartamento,Rio Grande,Cidade Nova,3,1,1,1,101.0,370000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-com-3-dormitorios-a-venda-cassino-rio-grande-rs/SO0165-LINL?from=sale,Sobrado,Rio Grande,Cassino,3,1,1,3,200.0,550000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-171-m-na-rua-antonio-da-fonseca-moraes-cassino-rio-grande-rs-a-venda-por-426000/CA0047-LINL?from=sale,Casa,Rio Grande,Cassino,3,1,3,2,171.0,426000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-200-m-na-rua-francisco-marques-centro-rio-grande-rs-a-venda-por-420000/SO0142-LINL?from=sale,Sobrado,Rio Grande,Centro,3,1,3,1,200.0,420000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-130-m-na-rua-sao-jose-do-norte-vila-maria-jose-rio-grande-rs-a-venda-por-200000/CA0670-LINL?from=sale,Casa,Rio Grande,Vila Maria José,3,1,1,1,130.0,200000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-1-m-na-rua-paulino-modernell-cassino-rio-grande-rs-a-venda-por-700000/SO0006-LINL?from=sale,Sobrado,Rio Grande,Cassino,5,2,4,3,1.0,700000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-200-m-na-avenida-cassino-cassino-rio-grande-rs-a-venda-por-400000/SO0045-LINL?from=sale,Sobrado,Rio Grande,Cassino,2,2,3,3,200.0,400000.0
https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-a-venda-400-m-cassino-rio-grande-rs/CA0847-LINL?from=sale,Casa,Rio Grande,Cassino,2,2,2,4,400.0,1100000.0
