web-scraper-order,web-scraper-start-url,cards,cards-href,tipo,cidade,bairro,quartos,suites,banheiros,vagas,area_construida,valor
1650153433-2108,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-140-m-na-rua-doutor-lazaro-ludovico-zamenhof-parque-residencial-coelho-rio-grande-rs-a-venda-por-270000/CA0894-LINL?from=sale,Casa,Rio Grande,Parque Residencial Coelho,3 Quartos,1 Suíte,2 Banheiros,0,"140 m²
 Área construída",270000
1650153446-2111,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-56-m-na-rua-general-vitorino-centro-rio-grande-rs-a-venda-por-198000/CA0454-LINL?from=sale,Casa,Rio Grande,Centro,1 Quarto,1 Suíte,1 Banheiro,0,"56 m²
 Área construída",198000
1650153441-2109,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/2-casas-em-ponto-comercial-terreno-6x30-na-av-buarque-de-macedo-nao-aceita-financiamento/CA0953-LINL?from=sale,Casa,Rio Grande,Cidade Nova,2 Quartos,1 Suíte,1 Banheiro,0,"100 m²
 Área construída",250000
1650153419-2102,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-120-m-na-rua-carlos-gomes-centro-rio-grande-rs-a-venda-por-480000/AP0681-LINL?from=sale,Apartamento,Rio Grande,Centro,3 Quartos,1 Suíte,3 Banheiros,0,"120 m²
 Área útil",480000
1650153453-2113,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=2,Detalhes,https://www.lindalvoimoveis.com.br/imovel/otima-casa-cidade/SO0181-LINL?from=sale,Sobrado,Rio Grande,Cidade Nova,4 Quartos,1 Suíte,3 Banheiros,0,"350 m²
 Área construída",1400000
1650153424-2104,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-169-m-na-rua-zalony-centro-rio-grande-rs-a-venda-por-375000-ou-aluguel-por-1800-mes/CA0538-LINL?from=sale,Casa,Rio Grande,Centro,4 Quartos,1 Suíte,3 Banheiros,0,"169 m²
 Área construída",375000
1650153444-2110,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-175-m-na-rua-padre-vieira-vila-juncao-rio-grande-rs-a-venda-por-200000/CA0807-LINL?from=sale,Casa,Rio Grande,Vila Junção,2 Quartos,1 Suíte,1 Banheiro,0,"175 m²
 Área construída",200000
1650153426-2105,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-160-m-na-rua-acacia-rio-grandense-nossa-senhora-dos-navegantes-rio-grande-rs-a-venda-por-350000/CA0910-LINL?from=sale,Casa,Rio Grande,Nossa Senhora dos Navegantes,3 Quartos,1 Suíte,1 Banheiro,0,"160 m²
 Área construída",350000
1650153416-2101,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-250-m-na-rua-quinze-de-novembro-miguel-de-castro-moreira-rio-grande-rs-a-venda-por-890000/CA0880-LINL?from=sale,Casa,Rio Grande,Miguel de Castro Moreira,2 Quartos,1 Suíte,3 Banheiros,0,"250 m²
 Área construída",890000
1650153448-2112,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=1+&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-60-m-na-avenida-rheingantz-parque-residencial-coelho-rio-grande-rs-a-venda-por-106000/CA0322-LINL?from=sale,Casa,Rio Grande,Parque Residencial Coelho,2 Quartos,1 Suíte,1 Banheiro,0,"60 m²
 Área construída",106000
